"course","section","required","title","author","edition","isbn"
"ACCT 4346","01","REQUIRED","MICROSOFT OFFICE ACCESS 2010,COMPR-W/CD","GRAUER","11","9780135098257"

"APSC 1110","01","REQUIRED","BECOMING A MASTER STUDENT,CONCISE","ELLIS","13TH 12","9780495912811"

"APSC 1110","02","REQUIRED","BECOMING A MASTER STUDENT,CONCISE","ELLIS","13TH 12","9780495912811"

"APSC 1110","03","REQUIRED","BECOMING A MASTER STUDENT,CONCISE","ELLIS","13TH 12","9780495912811"

"APSC 1110","04","REQUIRED","BECOMING A MASTER STUDENT,CONCISE","ELLIS","13TH 12","9780495912811"

"APSC 1110","05","REQUIRED","BECOMING A MASTER STUDENT,CONCISE","ELLIS","13TH 12","9780495912811"

"ARAB 1311","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ARAB 2311","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"ARTS 1311","01","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"ARTS 1311","02","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"ARTS 1311","03","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"ARTS 1311","04","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"ARTS 1311","05","REQUIRED","DESIGN+ART","COLES","07","9780262532891"

"ARTS 1316","01","REQUIRED","DRAWING STRUCTURE","HAMMONDS","0","9780757563102"

"ARTS 1316","02","REQUIRED","DRAWING STRUCTURE","HAMMONDS","0","9780757563102"

"ARTS 1317","01","REQUIRED","COLOUR OF CONTEMPORARY ART","BATCHELOR","08","9780262524810"

"ARTS 2303","01","REQUIRED","NEW MYARTLAB W/ETEXT SAC PKG","STOKSTAD","5TH 12","9780205237333"

"ARTS 2303","02","REQUIRED","NEW MYARTLAB W/ETEXT SAC PKG","STOKSTAD","5TH 12","9780205237333"

"ARTS 3336","01","REQUIRED","HUMAN FIGURE","RUBINS","75","9780140042436"

"ARTS 3339","01","REQUIRED","HISTORY OF MODERN ART (PAPER)","ARNASON","7TH 14","9780205259472"

"ARTS 3349","01","REQUIRED","INVENTIONS OF THE STUDIO","COLE","05","9780807855683"

"ARTS 3349","01","REQUIRED","MACHINE IN THE STUDIO","JONES","96","9780226406497"

"ARTS 3349","01","REQUIRED","MEDIEVAL CRAFTSMEN:SCRIBES+ILLUMINATORS","DEHAMEL","92","9780802077073"

"ARTS 4346","01","REQUIRED","ARTIST'S GUIDE","BATTENFIELD","09","9780306816529"

"ASTR 1311","01","REQUIRED","ESSENTIAL COSMIC PERSP.-W/2 PASSWORDS","BENNETT","6TH 12","9780321715364"

"BDMM 2301","01","REQUIRED","CONVERGING MEDIA","PAVLIK","3RD 13","9780199859931"

"BDMM 3332","01","REQUIRED","ENTREPRENEURSHIP","BARRINGER","4TH 12","9780132555524"

"BDMM 3334","01","REQUIRED","DIGITAL MEDIA PRIMER","WONG","2ND 13","9780132893503"

"BDMM 3338","01","REQUIRED","CRITICAL CHAIN:BUSINESS NOVEL","GOLDRATT","97","9780884271536"

"BDMM 4336","01","REQUIRED","MARKETING","ARMSTRONG","11TH 13","9780132744034"

"BDMM 4336","01","REQUIRED","NEW RULES OF MARKETING+PR","SCOTT","3RD 11","9781118026984"

"BDMM 4336","01","REQUIRED","UNDERSTANDING DIGITAL MARKETING","RYAN","2","9780749464271"

"BINF 1101","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BINF 3325","01","REQUIRED","PERL FOR EXPLORING DNA","LEBLANC","07","9780195305890"

"BINF 4157","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BINF 4350","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 1107","01","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","02","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","03","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","04","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","05","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","06","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","07","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","08","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","09","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1107","10","REQUIRED","CELLS, GENETICS, AND ORGAN SYSTEMS LAB","STAFF","F13","000000000000"

"BIOL 1305","01","REQUIRED","DIVERSITY OF LIFE","WILSON","10","9780674058170"

"BIOL 1305","01","REQUIRED","SONG OF THE DODO","QUAMMEN","96","9780684827124"

"BIOL 1305","02","REQUIRED","HERE BE DRAGONS","MCCARTHY","09","9780199595662"

"BIOL 1305","02","REQUIRED","SONG OF THE DODO","QUAMMEN","96","9780684827124"

"BIOL 1305","04","REQUIRED","OCEAN OF LIFE","CALLUM","0","9780143123484"

"BIOL 1305","04","REQUIRED","OCEAN:WORLD'S LAST WILDERNESS REVEALED","COUSTEAU","08","9780756636920"

"BIOL 1306","01","REQUIRED","BIOLOGY:LIFE ON EARTH-W/ACCESS","AUDESIRK","10TH 14","9780321834195"

"BIOL 1306","02","REQUIRED","BIOLOGY:LIFE ON EARTH-W/ACCESS","AUDESIRK","10TH 14","9780321834195"

"BIOL 1306","03","REQUIRED","BIOLOGY:LIFE ON EARTH","AUDESIRK","10TH 14","9780321729712"

"BIOL 1306","04","REQUIRED","BIOLOGY:LIFE ON EARTH","AUDESIRK","10TH 14","9780321729712"

"BIOL 1307","01","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","02","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","03","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","04","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","05","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","06","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","07","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 1307","08","REQUIRED","CAMPBELL BIOLOGY-W/MASTERINGBIOL.ACCESS","REECE","9TH 11","9780321558145"

"BIOL 2135","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 2135","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 2330","01","REQUIRED","EPIDEMIOLOGY F/PUBLIC HEALTH PRACTICE","FRIIS","5TH 14","9781449665494"

"BIOL 2330","01","REQUIRED","INFECTIONS+INEQUALITIES","FARMER","99","9780520229136"

"BIOL 2334","01","REQUIRED","MOLECULAR BIO.OF CELL,STUDENT ED.-W/DVD","ALBERTS","5TH 08","9780815341055"

"BIOL 2334","02","REQUIRED","MOLECULAR BIO.OF CELL,STUDENT ED.-W/DVD","ALBERTS","5TH 08","9780815341055"

"BIOL 2334","03","REQUIRED","MOLECULAR BIO.OF CELL,STUDENT ED.-W/DVD","ALBERTS","5TH 08","9780815341055"

"BIOL 2335","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 2401","01","REQUIRED","LAB.GUIDE FOR HUMAN ANAT.:CAT DISSECT.","RADKE","02","9780471414131"

"BIOL 2401","01","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY","TORTORA","13TH 12","9780470565100"

"BIOL 2401","01","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY-W/ATLAS(LOOSE)","TORTORA","13TH 12","9780470917770"

"BIOL 2401","02","REQUIRED","LAB.GUIDE FOR HUMAN ANAT.:CAT DISSECT.","RADKE","02","9780471414131"

"BIOL 2401","02","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY","TORTORA","13TH 12","9780470565100"

"BIOL 2401","02","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY-W/ATLAS(LOOSE)","TORTORA","13TH 12","9780470917770"

"BIOL 2401","03","REQUIRED","LAB.GUIDE FOR HUMAN ANAT.:CAT DISSECT.","RADKE","02","9780471414131"

"BIOL 2401","03","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY","TORTORA","13TH 12","9780470565100"

"BIOL 2401","03","REQUIRED","PRIN.OF ANAT.+PHYSIOLOGY-W/ATLAS(LOOSE)","TORTORA","13TH 12","9780470917770"

"BIOL 3339","01","REQUIRED","BROCK BIOLOGY OF MICROORGANISMS","MADIGAN","13TH 12","9780321649638"

"BIOL 3341","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 3345","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 3345","02","REQUIRED","URBAN ECOLOGY","NIEMELA","12","9780199643950"

"BIOL 3345","03","REQUIRED","ECONOMIC BOTANY:PLANTS IN OUR WORLD","SIMPSON","3RD 01","9780072909388"

"BIOL 4146","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 4344","01","REQUIRED","EVOLUTION","FUTUYMA","3RD 13","9781605351155"

"BIOL 4437","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BIOL 4437","02","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"BUSI 2305","01","REQUIRED","ESS OF MODERN BUSI STAT(LOOSE)/APLIA","ANDERSON","5TH","9781285116327"

"BUSI 2305","02","REQUIRED","ESS OF MODERN BUSI STAT(LOOSE)/APLIA","ANDERSON","5TH","9781285116327"

"BUSI 2305","03","REQUIRED","ESS OF MODERN BUSI STAT(LOOSE)/APLIA","ANDERSON","5TH","9781285116327"

"BUSI 2305","04","REQUIRED","ESS OF MODERN BUSI STAT(LOOSE)/APLIA","ANDERSON","5TH","9781285116327"

"BUSI 2305","05","REQUIRED","ESS OF MODERN BUSI STAT(LOOSE)/APLIA","ANDERSON","5TH","9781285116327"

"BUSI 2328","01","REQUIRED","BUSINESS+SOCIETY","CARROLL","8TH 12","9780538453165"

"BUSI 2328","01","REQUIRED","TRANSNATIONAL LEADERSHIP DEVELOPMENT","FISHER-YOSHIDA","09","9780814410394"

"BUSI 2328","02","REQUIRED","BUSINESS+SOCIETY","CARROLL","8TH 12","9780538453165"

"BUSI 2328","02","REQUIRED","TRANSNATIONAL LEADERSHIP DEVELOPMENT","FISHER-YOSHIDA","09","9780814410394"

"BUSI 2328","03","REQUIRED","BUSINESS+SOCIETY","CARROLL","8TH 12","9780538453165"

"BUSI 2328","03","REQUIRED","TRANSNATIONAL LEADERSHIP DEVELOPMENT","FISHER-YOSHIDA","09","9780814410394"

"BUSI 3303","01","REQUIRED","BUSINESS LAW:ETHICAL,GLOBAL,...","MALLOR","15TH 13","9780073524986"

"BUSI 3303","02","REQUIRED","BUSINESS LAW:ETHICAL,GLOBAL,...","MALLOR","15TH 13","9780073524986"

"BUSI 3303","03","REQUIRED","BUSINESS LAW:ETHICAL,GLOBAL,...","MALLOR","15TH 13","9780073524986"

"BUSI 3303","04","REQUIRED","BUSINESS LAW:ETHICAL,GLOBAL,...","MALLOR","15TH 13","9780073524986"

"BUSI 3303","05","REQUIRED","BUSINESS LAW:ETHICAL,GLOBAL,...","MALLOR","15TH 13","9780073524986"

"BUSI 3330","01","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3330","02","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3330","03","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3330","04","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3330","05","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3330","06","REQUIRED","ESSENTIALS OF BUSINESS COMM.-W/ACCESS","GUFFEY","9TH 13","9781111821227"

"BUSI 3399","01","REQUIRED","PROJECT MANAGEMENT-W/2 CDS","LARSON","5TH 11","9780077426927"

"BUSI 4349","01","REQUIRED","BUSI 4349 COURSE PACKET","POULOS","F13","000000000000"

"BUSI 4349","01","REQUIRED","STRATEGIC MANAGEMENT FALL '13","ST EDWARDS UNI","F13","9781256624936"

"BUSI 4349","01","REQUIRED","STRATEGIC STORIES: HOW 3M IS REWRITING","HBR REPRINT","98310","000000000000"

"BUSI 4349","01","RECOMMENDED","BUSINESS PLANNING GUIDE","BANGS","9TH 02","9780793154098"

"BUSI 4349","02","REQUIRED","BUSI 4349 COURSE PACKET","POULOS","F13","000000000000"

"BUSI 4349","02","REQUIRED","STRATEGIC MANAGEMENT FALL '13","ST EDWARDS UNI","F13","9781256624936"

"BUSI 4349","02","REQUIRED","STRATEGIC STORIES: HOW 3M IS REWRITING","HBR REPRINT","98310","000000000000"

"BUSI 4349","02","RECOMMENDED","BUSINESS PLANNING GUIDE","BANGS","9TH 02","9780793154098"

"BUSI 4349","03","REQUIRED","BUSI 4349 COURSE PACKET","POULOS","F13","000000000000"

"BUSI 4349","03","REQUIRED","STRATEGIC MANAGEMENT FALL '13","ST EDWARDS UNI","F13","9781256624936"

"BUSI 4349","03","REQUIRED","STRATEGIC STORIES: HOW 3M IS REWRITING","HBR REPRINT","98310","000000000000"

"BUSI 4349","03","RECOMMENDED","BUSINESS PLANNING GUIDE","BANGS","9TH 02","9780793154098"

"BUSI 4349","04","REQUIRED","BUSI 4349 COURSE PACKET","POULOS","F13","000000000000"

"BUSI 4349","04","REQUIRED","STRATEGIC MANAGEMENT FALL '13","ST EDWARDS UNI","F13","9781256624936"

"BUSI 4349","04","REQUIRED","STRATEGIC STORIES: HOW 3M IS REWRITING","HBR REPRINT","98310","000000000000"

"BUSI 4349","04","RECOMMENDED","BUSINESS PLANNING GUIDE","BANGS","9TH 02","9780793154098"

"BUSI 4349","05","REQUIRED","CONTEMPORARY STRAT.ANAL.:TEXT+CASES ED.","GRANT","8TH 13","9781119941897"

"CAPS 4360","01","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","02","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","03","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","04","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","05","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","06","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","07","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","08","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","09","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CAPS 4360","09","REQUIRED","MLA HDBK.F/WRITERS OF RESEARCH PAPERS","GIBALDI","7TH 09","9781603290241"

"CAPS 4360","10","REQUIRED","CAPSTONE HANDBOOK","STAFF","S13","000000000000"

"CATH 1316","01","REQUIRED","BY WHAT AUTHORITY?","GAILLARDETZ","03","9780814628720"

"CATH 1316","01","REQUIRED","CATHOLICISM IN THIRD MILLENIUM","RAUSCH","2ND 03","9780814658994"

"CATH 1316","01","REQUIRED","CREED:WHAT CHRISTIANS BELIEVE+WHY IT...","JOHNSON","03","9780385502481"

"CATH 1316","01","REQUIRED","FROM BROKENNESS TO COMMUNITY","VANIER","92","9780809133413"

"CATH 1316","02","REQUIRED","BY WHAT AUTHORITY?","GAILLARDETZ","03","9780814628720"

"CATH 1316","02","REQUIRED","CATHOLICISM IN THIRD MILLENIUM","RAUSCH","2ND 03","9780814658994"

"CATH 1316","02","REQUIRED","CREED:WHAT CHRISTIANS BELIEVE+WHY IT...","JOHNSON","03","9780385502481"

"CATH 1316","02","REQUIRED","FROM BROKENNESS TO COMMUNITY","VANIER","92","9780809133413"

"CATH 2323","01","REQUIRED","ESSENTIAL CATHOLIC SOCIAL THOUGHT","BRADY","08","9781570757563"

"CATH 2323","02","REQUIRED","SIX THEORIES OF JUSTICE","LEBACQZ","86","9780806622453"

"CATH 2323","02","REQUIRED","STRENGTH TO LOVE","KING","10","9780800697402"

"CATH 2323","02","REQUIRED","SUNFLOWER","WIESENTHAL","(REV)98","9780805210606"

"CATH 2323","02","REQUIRED","TATTOOS ON THE HEART","BOYLE","10","9781439153154"

"CATH 2399","01","REQUIRED","SHORT GUIDE TO WRITING ABOUT FILM","CORRIGAN","8TH 12","9780205236398"

"CHEM 1305","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CHEM 1340","01","REQUIRED","GENERAL CHEMISTRY W/OWL ACCESS LL","EBBING","10TH","9781285328300"

"CHEM 1340","01","STUDY AID","CHEMISTRY","BARCHARTS","0","000000000000"

"CHEM 1340","01","STUDY AID","ANSWERS","BARCHARTS","0","000000000000"

"CHEM 1340","02","REQUIRED","GENERAL CHEMISTRY W/OWL ACCESS LL","EBBING","10TH","9781285328300"

"CHEM 1340","02","STUDY AID","CHEMISTRY","BARCHARTS","0","000000000000"

"CHEM 1340","02","STUDY AID","ANSWERS","BARCHARTS","0","000000000000"

"CHEM 1340","03","REQUIRED","GENERAL CHEMISTRY W/OWL ACCESS LL","EBBING","10TH","9781285328300"

"CHEM 1340","03","STUDY AID","CHEMISTRY","BARCHARTS","0","000000000000"

"CHEM 1340","03","STUDY AID","ANSWERS","BARCHARTS","0","000000000000"

"CHEM 1340","04","REQUIRED","GENERAL CHEMISTRY W/OWL ACCESS LL","EBBING","10TH","9781285328300"

"CHEM 1340","04","STUDY AID","CHEMISTRY","BARCHARTS","0","000000000000"

"CHEM 1340","04","STUDY AID","ANSWERS","BARCHARTS","0","000000000000"

"CHEM 1340","05","REQUIRED","GENERAL CHEMISTRY W/OWL ACCESS LL","EBBING","10TH","9781285328300"

"CHEM 1340","05","STUDY AID","CHEMISTRY","BARCHARTS","0","000000000000"

"CHEM 1340","05","STUDY AID","ANSWERS","BARCHARTS","0","000000000000"

"CHEM 2000","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CHEM 2123","02","REQUIRED","TECHNIQUES IN ORGANIC CHEMISTRY","MOHRIG","3RD 10","9781429219563"

"CHEM 2123","03","REQUIRED","TECHNIQUES IN ORGANIC CHEMISTRY","MOHRIG","3RD 10","9781429219563"

"CHEM 2123","04","REQUIRED","TECHNIQUES IN ORGANIC CHEMISTRY","MOHRIG","3RD 10","9781429219563"

"CHEM 2123","05","REQUIRED","TECHNIQUES IN ORGANIC CHEMISTRY","MOHRIG","3RD 10","9781429219563"

"CHEM 2320","01","REQUIRED","FUND.OF ANALYTICAL CHEMISTRY-TEXT","SKOOG","9TH 14","9780495558286"

"CHEM 2320","02","REQUIRED","FUND.OF ANALYTICAL CHEMISTRY-TEXT","SKOOG","9TH 14","9780495558286"

"CHEM 2323","01","REQUIRED","ORGANIC CHEMISTRY","MCMURRY","6TH 04","9780495118374"

"CHEM 2323","02","REQUIRED","ORGANIC CHEMISTRY","MCMURRY","6TH 04","9780495118374"

"CHEM 3334","01","REQUIRED","INORGANIC CHEMISTRY","MIESSLER","5TH 13","9780321811059"

"CHEM 4153","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CHEM 4343","01","REQUIRED","BIOCHEMISTRY-W/CD","MATHEWS","3RD 00","9780805330663"

"CHEM 4343","02","REQUIRED","BIOCHEMISTRY-W/CD","MATHEWS","3RD 00","9780805330663"

"CHEM 4343","03","REQUIRED","BIOCHEMISTRY","MATHEWS","4TH 13","9780138004644"

"CHIN 1311","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"CHIN 2311","01","REQUIRED","INSTRUCTOR DID NOT SUBMIT AN ADOPTION","UNKNOWN","0","000000000000"

"COMM 1306","01","REQUIRED","COMMUNICATION:PRINCIPLES...-TEXT","BEEBE","5TH 13","9780205029433"

"COMM 1306","01","REQUIRED","PATHWAYS TO CAREERS IN COMMUNICATION","NATL.COMMUN.","8TH 11","9780944811283"

"COMM 1306","02","REQUIRED","COMMUNICATION:PRINCIPLES...-TEXT","BEEBE","5TH 13","9780205029433"

"COMM 1306","02","REQUIRED","PATHWAYS TO CAREERS IN COMMUNICATION","NATL.COMMUN.","8TH 11","9780944811283"

"COMM 1306","03","REQUIRED","REAL COMMUNICATION:INTRO.WITH MASS...","OHAIR","2ND 12","9780312605773"

"COMM 1306","04","REQUIRED","REAL COMMUNICATION:INTRO.WITH MASS...","OHAIR","2ND 12","9780312605773"

"COMM 1317","01","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","01","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","02","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","02","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","03","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","03","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","04","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","04","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","05","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","05","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","06","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

"COMM 1317","06","REQUIRED","SPEAKER'S GUIDEBOOK ST EDWARDS CUSTOM","OHAIR","5TH '13","9781457666551"

"COMM 1317","07","REQUIRED","SAVE OUR SLIDES","EARNEST","3RD '13","9781465214065"

